No.,Business_Name,Pre_Crash_Mode,AV,OtherVeh,Weather,Lighting,Collision_Type,Damage_Detail
152,Cruise,Conventional,Proceeding Straight,Changing Lanes,Clear,Dark-Street Lights,Side Swipe,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling eastbound on 14th Street at the intersection with Valencia Street when another vehicle began to change into the Cruise AV?s lane. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, the other vehicle made contact with the right front corner of the Cruise AV, damaging the Cruise AV?s right front fender. There were no injuries and police were not called."
153,Cruise,Conventional,Slowing/Stopping,Proceeding Straight,Clear,Dark-Street Lights,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was approaching the intersection prior to making a left turn from northbound Larkin Street onto westbound McAllister Street when the Cruise AV slowed down. The driver of the Cruise AV disengaged from autonomous mode, and shortly thereafter, another vehicle made contact with the rear bumper of the Cruise AV, damaging the Cruise AV?s right rear bumper. There were no injuries and police were not called."
154,Cruise,Autonomous,Making Right Turn,Stopped,Clear,Dark-Street Lights,Broadside,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling from southbound Steiner Street to southbound Sanchez Street via eastbound Duboce Avenue when a skateboarder traveling through the stop sign on eastbound Duboce made contact with the rear passenger door of the Cruise AV. The skateboarder left the scene without exchanging information. There were no injuries and police were not called."
155,Cruise,Autonomous,Stopped,Proceeding Straight,Cloudy,Daylight,Side Swipe,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was stopped at a red light on northbound Franklin Street at the intersection with Bay Street when a lane-splitting  motorcycle made contact with the Cruise AV?s front right articulating radar, damaging the cover. The motorcyclist did not stop. There were no injuries and police were not called."
156,Cruise,Conventional,Proceeding Straight,Proceeding Straight,Clear,Dark-Street Lights,Broadside,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling straight through a green light northbound on Fillmore Street at the intersection with Fell Street when another vehicle, traveling westbound and violating a red light on Fell Street, came into the Cruise AV?s path. The driver of the Cruise AV disengaged from autonomous mode, and thereafter, the Cruise AV and the other vehicle made contact, damaging the other vehicle?s left rear door and the Cruise AV?s front bumper assembly, grill, and both front wheel wells. There were no injuries and police were not called."
157,Google,Autonomous,Stopped,Making Right Turn,Cloudy,Daylight,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) in autonomous mode was yielding to check for cross traffic while in the slip lane to turn from southbound Shoreline Boulevard to westbound El Camino Real in Mountain View when it was rear-ended by a passenger vehicle at approximately 5 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle had minor damage to its front bumper. The two Waymo AV operators reported neck/back pain but declined medical attention at the scene."
158,Cruise,Autonomous,Proceeding Straight,Proceeding Straight,Cloudy,Dusk-Dawn,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was about to make a left turn after stopping at the four-way stop sign on westbound Euclid Avenue at the intersection with Palm Avenue when another vehicle made contact with the rear bumper of the Cruise AV. Police were not called and no injuries were reported at the scene by either party. Two of the Cruise AV testers sitting in the driver and front passenger seats later mentioned injuries."
159,Google,Autonomous,Stopped,Making Right Turn,Cloudy,Daylight,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) in autonomous mode was yielding to check for cross traffic while in the slip lane to turn from northbound Whisman Station Drive to southbound S. Whisman Road in Mountain View when it was rear-ended by a passenger vehicle at approximately 7 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle had minor damage to its front bumper. There were no injuries reported at the scene.
"
160,Cruise,Autonomous,Changing Lanes,Changing Lanes,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was changing lanes into the left turn lane on eastbound Geary Boulevard between 8th and 9th Avenues when the Cruise AV slowed down.  The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, another vehicle  changing into the same lane made contact with the rear bumper of the Cruise AV, damaging the Cruise AV?s bumper.  There were no injuries and police were not called."
161,Google,Autonomous,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) in autonomous mode was stopped in traffic while in the leftmost lane on southbound San Antonio Road headed toward Charleston Road in Palo Alto when it was rear-ended by a passenger vehicle maneuvering into the Waymo AV?s lane at approximately less than 1 MPH. The Waymo AV sustained minor scratches to its rear sensor, and the passenger vehicle left the scene. There were no injuries reported at the scene.
"
162,Cruise,Autonomous,Proceeding Straight,Proceeding Straight,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling eastbound on Clay Street through the intersection with Van Ness Avenue when another vehicle made contact with the rear right bumper of the Cruise AV, damaging the Cruise AV?s right brake light assembly. There were no injuries and police were not called."
163,Zoox,Conventional,Slowing/Stopping,Making Left Turn,Clear,Daylight,Head-On,"A Zoox vehicle, operating in conventional mode, was coming to a stop at the Grant Ave. and Union St. intersection and traveling less than 2mph, when it was struck on its front bumper by a bicyclist. The Zoox vehicle was traveling northbound on the one-way street when the bicyclist turned left from Union St. onto Grant Ave. and rode into the Zoox vehicle. The bicyclist's left turn caused the bicyclist to travel in the wrong direction on the one-way street. After contact, the cyclist continued traveling southbound (against the one-way) on Grant Ave. despite attempts to get the bicyclist's attention in order to exchange information."
164,Cruise,Conventional,Proceeding Straight,Changing Lanes,Clear,Daylight,Side Swipe,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling in the left lane on northbound Folsom Street between 13th and 12th Streets when another vehicle changed into the Cruise AV?s lane without using its left signal. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, the Cruise AV and the other vehicle made contact, damaging the Cruise AV?s front right bumper, fender, and wheel well. There were no injuries and police were not called."
165,Cruise,Autonomous,Proceeding Straight,Changing Lanes,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling southbound on Divisadero Street between Pine and Bush Streets when another vehicle made contact with the left rear bumper of the Cruise AV, damaging the bumper and left tail light. There were no injuries and police were not called."
166,Google,Autonomous,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) was stopped in autonomous mode on the off-ramp from westbound Alma Street to southbound Oregon Expressway in Palo Alto when it was rear-ended. The Waymo AV was yielding to cross-traffic when a passenger vehicle made contact with the Waymo AV?s rear bumper at approximately 5 MPH. The Waymo AV sustained minor damage to the rear bumper, and the passenger vehicle left the scene without stopping or exchanging information. The Waymo AV driver complained of neck, back, and nose pain and was treated at the scene by emergency responders. "
167,Zoox,Conventional,Proceeding Straight,Making Left Turn,Cloudy,Daylight,Head-On,"A Zoox vehicle, operating in manual mode, was traveling southbound on Mason Street at less than 3mph when a cyclist, traveling westbound on Sutter Street at a red light, cycled into the rear end of the Zoox vehicle. 

The incident occurred when the Zoox vehicle proceeded toward the intersection of Mason and Sutter, the cyclist entered Mason Street against the one-way onto the crosswalk to pass behind the Zoox vehicle. The cyclist then clipped the left rear side of the Zoox vehicle. After contact, the cyclist did not stop to exchange information and continued traveling westbound on Sutter Street.
"
168,Cruise,Conventional,Making Left Turn,Changing Lanes,Clear,Dark-Street Lights,Side Swipe,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was making a left turn from the leftmost lane on westbound Bush Street onto northbound Octavia Street when the Cruise AV slowed down. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, another vehicle clipped the Cruise AV?s right rear corner, damaging the right rear bumper cover, wheel well, and wheel. The driver of the other vehicle drove away without exchanging information. There were no injuries. Police were called but not dispatched to the scene."
169,Cruise,Conventional,Proceeding Straight,Proceeding Straight,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling northbound on Divisadero Street through the intersection with Fell Street when the Cruise AV slowed down. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, another vehicle made contact with the Cruise AV?s rear bumper, damaging the rear bumper and fascia assembly. There were no injuries and police were not called."
170,Cruise,Autonomous,Making Right Turn,Making Right Turn,Clear,Dark-Street Lights,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was making a right turn from northbound 10th Avenue onto eastbound California Street when another vehicle made contact with the Cruise AV?s left rear bumper, damaging the upper rear fascia and lower tail light assembly. The driver of the other vehicle drove away without exchanging information. Police were not called and no injuries were reported at the scene by either party. The Cruise AV tester sitting in the driver seat did not report injuries on the scene but later mentioned injuries.
"
171,Pony.AI,Conventional,Proceeding Straight,Stopped,Clear,Daylight,Rear End,"A Pony.AI autonomous vehicle (""Pony AV"") in autonomous mode was traveling southbound on Pine Street heading towards Cameron Hills Drive.  A passenger vehicle traveling southbound behind the Pony AV crossed the traffic line and entered the northbound lane of Pine Street in an attempt to pass the Pony AV.  The Pony AV's speed remained consistent.  After passing the Pony AV by about a quarter car length, the passenger vehicle abruptly turned back into the southbound lane of Pine Street such that it was in very close proximity to the front of the Pony AV.  The passenger vehicle then suddenly decelerated.  The Pony AV's safety driver disengaged autonomous mode and manually applied the brake.  As a result of the passenger vehicle's sudden deceleration, the Pony AV's front-left bumper made contact with the back-right bumper of the passenger vehicle causing minor scratches to both vehicles.  The safety driver of the Pony AV and the driver of the passenger vehicle stopped to exchange information.  No injuries were reported and the police were not called."
172,Cruise,Autonomous,Making Right Turn,Making Right Turn,Clear,Dark-Street Lights,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was making a right turn from northeast bound Bryant Street onto southeast bound 10th Street when another vehicle made contact with the Cruise AV?s left rear corner, damaging the upper left tail lamp assembly. There were no injuries and police were not called."
173,Cruise,Autonomous,Proceeding Straight,Changing Lanes,Clear,Dark-Street Lights,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling westbound on Duboce Avenue between Guerrero Street and Market Street when another vehicle made contact with the Cruise AV?s left rear corner, damaging the lower left tail lamp assembly and left rear wheel well. There were no injuries and police were not called."
174,Cruise,Autonomous,Stopped,Making Left Turn,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling northbound on Grant Street between Clay and Washington Streets when another vehicle, completing a left turn from Clay onto Grant, made contact with the left rear corner of the Cruise AV, damaging the left lower tail lamp and rear fascia. The driver of the other vehicle drove away without exchanging information. There were no injuries and police were not called."
175,Cruise,Autonomous,Stopped,Passing Other Vehicle,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was waiting for oncoming traffic to clear the intersection before making a left turn onto Bush Street from southbound Steiner Street when another vehicle made contact with the right rear corner of the Cruise AV, damaging the Cruise AV?s right rear fascia, bumper, and wheel well. There were no injuries and police were not called.
"
176,Google,Autonomous,Stopped,Passing Other Vehicle,Clear,Daylight,Side Swipe,"A Waymo Autonomous Vehicle (?Waymo AV?) was stopped in autonomous mode on southbound Escuela Avenue at El Camino Real in Mountain View when it was side-swiped. The Waymo AV was stopped in traffic at a red light when a passenger vehicle attempted to pass the Waymo AV on the right, and made contact with a sensor on the Waymo AV?s passenger side front fender at approximately 1 MPH. The Waymo AV?s sensor housing sustained a minor scratch, and the passenger vehicle sustained a minor scratch to its driver side mirror. There were no injuries reported at the scene. "
177,Cruise,Autonomous,Proceeding Straight,Changing Lanes,Clear,Dark-Street Lights,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling on southeast bound 10th Street between Market and Jessie Streets when another vehicle changing into the same lane made contact with the left rear corner of the Cruise AV, damaging the Cruise AV?s left rear bumper and wheel well. There were no injuries and police were not called."
178,Pony.AI,Conventional,Stopped,Backing,Clear,Daylight,Other,"A Pony.ai autonomous vehicle (""Pony AV"") in autonomous mode was stopped at a red light at the intersection of Dixon Landing Road and California Circle. While stopped at the red light, the Pony AV's safety driver noticed that the reverse lights of the vehicle directly in front of the Pony AV (""Vehicle 2"") were on. The Pony AV's safety driver disengaged autonomous mode, observed that there were no vehicles directly behind it, and reversed 20-30 feet as a precaution. When the traffic light turned green, Vehicle 2 accelerated while still in reverse toward the Pony AV.  Vehicle 2 came to a complete stop about 4 feet from the Pony AV's front bumper. After about 2 seconds, however, Vehicle 2 continued to reverse in the direction of the Pony AV, resulting in contact between the two vehicles. The contact caused minor scratches to both vehicles. The Pony AV's safety driver and the driver of Vehicle 2 pulled over at a nearby parking lot and exchanged information. There were no injuries reported and the police were not called."
179,Cruise,Conventional,Proceeding Straight,Changing Lanes,Clear,Dark-Street Lights,Side Swipe,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling eastbound on 14th Street at the intersection with Valencia Street when another vehicle began to change into the Cruise AV?s lane. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, the other vehicle made contact with the right front corner of the Cruise AV, damaging the Cruise AV?s right front fender. There were no injuries and police were not called."
180,Google,Conventional,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) was stopped in manual mode on southbound Central Expressway approaching Thompson Avenue in Mountain View when it was rear-ended. The Waymo AV was stopped in traffic when a passenger vehicle made contact with a sensor on the Waymo AV?s rear bumper at approximately less than 1 MPH. The Waymo AV?s sensor sustained minor damage, and the passenger vehicle left the scene without exchanging information. There were no injuries reported at the scene. 
"
181,Cruise,Conventional,Proceeding Straight,Changing Lanes,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling westbound on Fell Street between Webster and Fillmore Streets when the Cruise AV began to yield to traffic in the left adjacent lane. The driver of the Cruise disengaged from autonomous mode, and shortly thereafter, another vehicle changing into the same lane made contact with the right rear corner of the Cruise AV, damaging the Cruise AV?s rear hatch and window and right rear body and fascia. There were no injuries and police were not called. "
182,Cruise,Conventional,Proceeding Straight,Proceeding Straight,Clear,Dark-Street Lights,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling southwest bound on Mission Street between 1st
and 2nd Streets when the Cruise AV slowed down. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter,
another vehicle made contact with the right rear corner of the Cruise AV, damaging the Cruise AV?s right rear bumper, fender, and hatch.
There were no injuries and police were not called."
183,Cruise,Conventional,Proceeding Straight,Parking Manuever,Clear,Daylight,Broadside,"A Cruise autonomous vehicle (?Cruise AV?) being driven in conventional mode was involved in a collision while traveling in a private parking lot on the north side of Market Street near the intersection of Duboce Avenue and Church Street. While the driver of the Cruise AV was proceeding towards the parking lot exit, another vehicle reversing out of its perpendicular parking spot made contact with the front right side of the Cruise AV. Police were not called and no injuries were reported at the scene by either party. The Cruise AV tester sitting in the front passenger seat later mentioned a back injury."
184,Cruise,Conventional,Parking Manuever,Parked,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (?Cruise AV?) being driven in conventional mode was involved in a collision while traveling on eastbound Jackson Street between Stockton Street and Grant Avenue. While pulling out of a parking spot on Jackson, the driver of the Cruise AV made contact with another vehicle parked in front of it, damaging the Cruise AV?s front bumper assembly, left headlamp assembly, and left front radar. There were no injuries and police were not called."
185,Zoox,Conventional,Stopped,Proceeding Straight,Clear,Dark-Street Lights,Side Swipe,"The Zoox vehicle, traveling southbound on Hyde St. at the Union St. intersection, was in conventional mode and waiting (stationary) to make the left turn from Hyde St. onto Union St. The Zoox vehicle had stopped to yield to an oncoming truck. The truck continued northbound on Hyde Street, and as it passed the Zoox vehicle, its driver-side mirror grazed the driver-side mirror of the Zoox vehicle."
186,Cruise,Conventional,Proceeding Straight,Proceeding Straight,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling northbound on Leavenworth Street between Geary and Post Streets when another vehicle changed from the right adjacent lane to ahead of the Cruise AV without using its left signal. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, a second vehicle made contact with the rear bumper of the Cruise AV, damaging the Cruise AV?s rear bumper mounting bracket. Police were not called and no injuries were reported at the scene by either party. The Cruise AV tester sitting in the driver?s seat later mentioned neck pain."
187,Cruise,Autonomous,Stopped,Entering Traffic,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling eastbound on 24th Street between Noe and Sanchez Streets when the Cruise AV yielded to a jaywalking pedestrian and for clearance to maneuver around a double-parked vehicle immediately ahead of it. While the Cruise AV waited, another vehicle pulling out of a driveway and into the Cruise AV?s lane made contact with the left rear corner of the Cruise AV, damaging the Cruise AV?s left rear bumper, fender, and radar. There were no injuries and police were not called."
188,Google,Autonomous,Slowing/Stopping,Stopped,Clear,Daylight,Broadside,"A Waymo Autonomous Vehicle (?Waymo AV?) was stopped in autonomous mode on southbound N. Shoreline Boulevard at W. Middlefield Road in Mountain View when a bicyclist made contact with the side of the Waymo AV. The Waymo AV was traveling in the far right lane on N. Shoreline Boulevard and slowing for a red light at W. Middlefield Road, when a bicyclist began to cross all lanes of traffic from the east side of N. Shoreline Boulevard to the west side of the boulevard, in a diagonal manner, against the flow of traffic. As the bicyclist approached the Waymo AV, the Waymo AV began braking for the bicyclist. As the Waymo AV came to a stop, the bicyclist then made contact with the driver?s side rear quarter panel of the Waymo AV at approximately 8 MPH. The Waymo AV sustained minor scratches to the driver?s side rear taillight, and the bicyclist, remaining upright, appeared to sustain no damage or injuries as they cycled away from the scene without exchanging information."
189,Google,Autonomous,Merging,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) was in autonomous mode on the off-ramp from eastbound Alma Street to southbound Oregon Expressway in Palo Alto when it was rear-ended. The Waymo AV was traveling approximately less than 1 MPH and yielding to cross-traffic when a passenger vehicle made contact with the Waymo AV?s rear bumper at approximately 5 MPH. The Waymo AV sustained minor damage to the rear bumper, and the passenger vehicle sustained minor damage to its front bumper. There were no injuries reported at the scene. "
190,Cruise,Conventional,Slowing/Stopping,Making Left Turn,Clear,Dark-Street Lights,Broadside,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling northbound on Noe Street at the intersection with 14th Street when the Cruise AV yielded to a pedestrian in the north crosswalk. The driver of the Cruise AV disengaged from autonomous mode, and shortly thereafter, another vehicle attempting a left turn from southbound Noe onto eastbound 14th made contact with the left rear corner of the Cruise AV, damaging the Cruise AV?s left rear fascia and wheel well. There were no injuries reported at the scene by either party and police were not called. 
"
191,Google,Autonomous,Proceeding Straight,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) was in autonomous mode on northbound S. Rengstorff Avenue at Crisanto Avenue in Mountain View when it was rear-ended. After starting to proceed following a red-to-green traffic light change, the Waymo AV yielded to a bicyclist who merged from the bike lane into the Waymo AV?s travel lane, and a passenger vehicle then made contact with the rear bumper of the Waymo AV. The passenger vehicle was traveling at approximately 8 MPH, and the Waymo AV was traveling at approximately 3 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. There were no injuries reported at the scene."
192,Google,Conventional,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) was stopped in manual mode in the sliplane from southbound Page Mill Road to northbound Oregon Expressway in Palo Alto when it was rear-ended. The Waymo AV test driver was yielding to approaching traffic when a passenger vehicle made contact with the Waymo AV?s rear bumper at approximately 12 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. The Waymo AV test driver and co-driver both reported head and neck pain, but declined medical treatment at the scene. No other injuries were reported. "
193,Cruise,Autonomous,Proceeding Straight,Changing Lanes,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling westbound on Geary Boulevard between 32nd and 33rd Avenues when another vehicle, traveling in the right adjacent lane, changed into the same lane as the Cruise AV and made contact with the right rear corner of the Cruise AV, damaging the Cruise AV?s right rear fascia and bumper. There were no injuries and police were not called."
194,Cruise,Conventional,Slowing/Stopping,Proceeding Straight,Clear,Dark-Street Lights,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling westbound on Division Street between Potrero Avenue and Bryant Street when the Cruise AV slowed down in the right turn lane. The driver of the Cruise AV disengaged from autonomous mode, and shortly thereafter, an electric scooterist traveling in the same lane made contact with the rear bumper and fascia of the Cruise AV. The scooterist reported injuries and emergency services and the police arrived at the scene. SFPD incident report number 190633860 was not available at the time of filing of this report."
195,Cruise,Conventional,Proceeding Straight,Proceeding Straight,Clear,Daylight,Broadside,"A Cruise autonomous vehicle (?Cruise AV?) being driven in conventional mode was involved in a collision after completing a right turn from southwest bound Market Street onto westbound Haight Street at the intersection with Gough Street. As the driver of the Cruise AV proceeded on Haight through Gough, a motor scooterist, proceeding southbound on Gough through the intersection with Haight, made contact with the right rear passenger door of the Cruise AV, denting the door. There were no injuries reported at the scene by either party. Police were called but not dispatched to the scene. Days after the collision, the motor scooterist reported injuries."
196,Cruise,Autonomous,Stopped,Making Left Turn,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (?Cruise AV), operating in autonomous mode, was yielding to oncoming traffic prior to making a left turn onto northbound Palm Avenue from eastbound Geary Boulevard when another vehicle made contact with the rear bumper of the Cruise AV. There were no injuries reported at the scene by either party and police were not called. The Cruise AV tester sitting in the front passenger seat later mentioned neck pain."
197,Google,Autonomous,Stopped,Backing,Clear,Daylight,Broadside,"A Waymo Autonomous Vehicle (?Waymo AV?) was stopped in autonomous mode in a grocery store parking lot in Los Altos when a passenger vehicle reversed into it. Three passengers were exiting the Waymo AV when the passenger vehicle in the right adjacent parking spot began to reverse out of the parking spot and made contact with the Waymo AV?s passenger side rear quarter panel at approximately 1 MPH. The Waymo AV sustained minor damage to its passenger side sliding rear door and rear quarter panel, and the passenger vehicle sustained minor damage to its rear bumper. No injuries were reported. "
200,Cruise,Conventional,Slowing/Stopping,Proceeding Straight,Clear,Daylight,Broadside,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling eastbound on Clay Street at the intersection with Kearny Street when the Cruise AV slowed down. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, a bicyclist proceeding straight on northbound Kearny Street made contact with the right rear fender of the Cruise AV, damaging its fender. The bicyclist left the scene without exchanging information. There were no injuries and police were not called."
201,Cruise,Autonomous,Slowing/Stopping,Changing Lanes,Clear,Daylight,Side Swipe,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling northeast bound on Bryant Street between 11th and 10th Streets when the Cruise AV yielded to a parallel parking vehicle ahead on the right. Shortly thereafter, a lane-splitting electric scooterist attempting to change lanes made contact with the left rear corner of the Cruise AV. There were no injuries reported at the scene by either party and police were not called. The electric scooterist later reported injuries."
202,Google,Autonomous,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) was stopped in autonomous mode in traffic at a red light on southbound Rengstorff Avenue at Central Expressway in Mountain View when it was rear-ended by a passenger vehicle. The passenger vehicle made contact with the Waymo AV?s rear bumper at approximately 1 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported. "
203,Zoox,Autonomous,Proceeding Straight,Proceeding Straight,Clear,Daylight,Rear End,"The stationary Zoox vehicle was in autonomous mode heading northbound on Union St. Contact occurred when the Zoox vehicle was stopped at a stop sign at the intersection of Union St. and Grant St., when it was rear-ended by an electric scooter. The scooter was following closely behind the Zoox vehicle and the scooter driver was not focused on the Zoox vehicle in front of it, when the scooter's front tire made contact with the rear bumper of the Zoox vehicle.  There were no injuries. "
204,Cruise,Conventional,Changing Lanes,Proceeding Straight,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling southeast bound on Spear Street between Howard and Folsom Streets when the Cruise AV slowed down to change into the right adjacent lane due to traffic cones ahead. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, a lane-splitting car made contact with the right rear corner of the Cruise AV, damaging the Cruise AV?s right lower tail lamp. The driver of the other vehicle drove away without exchanging information. There were no injuries reported. Police were called but were not dispatched to the scene."
205,Zoox,Autonomous,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"The stationary Zoox vehicle was in autonomous mode at the stop sign on Polk St. heading northbound towards Green St. The Zoox vehicle moved forward slightly, then slowed down in caution to a pedestrian on its left and potential oncoming vehicles when the driver of the vehicle behind the Zoox vehicle made contact with the rear bumper of the Zoox vehicle.  There were no injuries."
206,Google,Autonomous,Stopped,Making Right Turn,Clear,Dark-Street Lights,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) was stopped in autonomous mode on westbound Cuesta Drive at S. San Antonio Road in Los Altos when it was rear-ended.  The Waymo AV was preparing to make a right-on-red from Cuesta Drive onto northbound S. San Antonio Road and was yielding to cross-traffic when a passenger vehicle made contact with the Waymo AV's rear bumper at approximately 3 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained no damage to its front bumper. No injuries were reported. "
207,Google,Autonomous,Stopped,Making Right Turn,Clear,Daylight,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) was stopped in autonomous mode on northbound Distel Drive at El Camino Real in Los Altos when it was rear-ended. The Waymo AV was preparing to make a right-on-red from Distel Drive onto eastbound El Camino Real and was yielding to cross-traffic when a passenger vehicle made contact with the Waymo AV?s rear bumper at approximately 1 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported. "
208,Cruise,Autonomous,Stopped,Changing Lanes,Fog/Visibility,Dark-Street Lights,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was stopped at a red light on southbound Hyde Street at the intersection with Sutter Street when another vehicle behind the Cruise AV attempted to change into the right adjacent lane and made contact with the right rear corner of the Cruise AV, damaging the Cruise AV?s right rear radar and assembly. There were no injuries and police were not called."
209,Google,Autonomous,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) was stopped in autonomous mode on the interchange from eastbound Alma Street merging onto southbound Oregon Expressway in Palo Alto when it was rear-ended. The Waymo AV was yielding to cross-traffic when a passenger vehicle made contact with the Waymo AV?s rear bumper at approximately 8 MPH. The Waymo AV sustained minor damage to the rear bumper, and the passenger vehicle sustained minor damage to its front bumper. There were no injuries reported at the scene; the Waymo test driver later reported dizziness but declined medical attention. "
210,Google,Conventional,Parked,Backing,Clear,Daylight,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) was parked in manual mode in a coffee shop parking lot in Palo Alto when a passenger vehicle reversed into it. The Waymo AV was unattended when a passenger vehicle made contact with the Waymo AV?s rear bumper at approximately 2 MPH. The Waymo AV sustained minor damage to the rear bumper, and the passenger vehicle left the scene without exchanging information."
211,Cruise,Conventional,Proceeding Straight,Proceeding Straight,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling southeast bound on The Embarcadero near the intersection with Battery Street when the Cruise AV yielded to another vehicle in the left adjacent lane that encroached into the Cruise AV?s lane. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, a second vehicle behind the Cruise AV made contact with the rear bumper of the Cruise AV, damaging the Cruise AV?s right rear bumper, fascia, signal lamp, and radar assembly. There were no injuries reported at the scene by either party and police were not called. Both of the Cruise AV test operators later mentioned neck and back injuries."
